Tarih,Mahalle,Elektrik_Tuketim,Su_Tuketim,Dogalgaz_Tuketim
2022-01-01 00:00:00,Çaydaçıra,3967.59,59.34,3132.76
2022-01-01 00:00:00,İzzetpaşa,2770.62,51.54,2911.39
2022-01-01 00:00:00,Sanayi,13575.39,91.25,48.32
2022-01-01 00:00:00,Kültürpark,4835.59,897.12,13.91
2022-01-01 00:00:00,Universite,5585.13,581.38,2800.19
2022-01-01 00:30:00,Çaydaçıra,3064.32,65.46,3501.37
2022-01-01 00:30:00,İzzetpaşa,2876.37,48.64,2884.1
2022-01-01 00:30:00,Sanayi,15823.83,76.89,55.23
2022-01-01 00:30:00,Kültürpark,5138.68,867.52,13.36
2022-01-01 00:30:00,Universite,6147.5,487.07,2753.35
2022-01-01 01:00:00,Çaydaçıra,3142.47,59.35,2908.76
2022-01-01 01:00:00,İzzetpaşa,2371.67,40.78,3165.67
2022-01-01 01:00:00,Sanayi,13047.79,78.95,49.73
2022-01-01 01:00:00,Kültürpark,5465.32,879.82,14.13
2022-01-01 01:00:00,Universite,6728.31,430.2,2765.58
2022-01-01 01:30:00,Çaydaçıra,3204.27,50.99,3284.19
2022-01-01 01:30:00,İzzetpaşa,2272.05,43.29,2632.32
2022-01-01 01:30:00,Sanayi,11958.51,78.84,45.47
2022-01-01 01:30:00,Kültürpark,4893.03,986.61,13.46
2022-01-01 01:30:00,Universite,6410.61,523.5,2802.38
2022-01-01 02:00:00,Çaydaçıra,2978.72,45.12,3096.37
2022-01-01 02:00:00,İzzetpaşa,2308.6,33.23,3220.87
2022-01-01 02:00:00,Sanayi,14850.1,70.09,48.48
2022-01-01 02:00:00,Kültürpark,5282.67,926.79,13.76
2022-01-01 02:00:00,Universite,5412.59,480.51,2798.79
2022-01-01 02:30:00,Çaydaçıra,2487.65,46.16,3128.83
2022-01-01 02:30:00,İzzetpaşa,1975.13,35.27,2880.77
2022-01-01 02:30:00,Sanayi,14000.07,68.63,45.53
2022-01-01 02:30:00,Kültürpark,5344.51,1008.97,13.32
2022-01-01 02:30:00,Universite,6614.81,531.09,2674.55
2022-01-01 03:00:00,Çaydaçıra,2082.92,36.45,3132.67
2022-01-01 03:00:00,İzzetpaşa,1653.95,30.3,2745.44
2022-01-01 03:00:00,Sanayi,12523.32,73.11,50.44
2022-01-01 03:00:00,Kültürpark,5898.47,1177.71,12.74
2022-01-01 03:00:00,Universite,5788.57,539.56,2795.91
2022-01-01 03:30:00,Çaydaçıra,2284.61,28.89,3092.72
2022-01-01 03:30:00,İzzetpaşa,1713.79,27.81,2639.49
2022-01-01 03:30:00,Sanayi,12658.94,81.62,49.81
2022-01-01 03:30:00,Kültürpark,6280.53,1068.84,13.71
2022-01-01 03:30:00,Universite,5228.14,496.05,2769.51
2022-01-01 04:00:00,Çaydaçıra,2174.33,33.57,3166.98
2022-01-01 04:00:00,İzzetpaşa,1396.75,21.94,2817.62
2022-01-01 04:00:00,Sanayi,15401.44,82.38,50.2
2022-01-01 04:00:00,Kültürpark,6353.69,989.48,12.85
2022-01-01 04:00:00,Universite,6077.64,453.74,2831.0
2022-01-01 04:30:00,Çaydaçıra,2113.77,26.06,3147.72
2022-01-01 04:30:00,İzzetpaşa,1320.33,21.57,2860.4
2022-01-01 04:30:00,Sanayi,12022.08,82.29,48.2
2022-01-01 04:30:00,Kültürpark,5784.07,1124.35,13.75
2022-01-01 04:30:00,Universite,6526.78,510.21,2729.08
2022-01-01 05:00:00,Çaydaçıra,1658.11,23.24,3164.35
2022-01-01 05:00:00,İzzetpaşa,1143.45,19.85,3042.91
2022-01-01 05:00:00,Sanayi,12202.81,73.18,47.61
2022-01-01 05:00:00,Kültürpark,7226.93,1244.53,14.27
2022-01-01 05:00:00,Universite,6709.91,456.3,2749.89
2022-01-01 05:30:00,Çaydaçıra,1788.56,21.59,3138.41
2022-01-01 05:30:00,İzzetpaşa,1223.36,13.77,2866.87
2022-01-01 05:30:00,Sanayi,13959.57,78.98,54.01
2022-01-01 05:30:00,Kültürpark,6908.54,1034.61,13.84
2022-01-01 05:30:00,Universite,6475.76,538.99,2860.7
2022-01-01 06:00:00,Çaydaçıra,1425.29,15.61,3308.27
2022-01-01 06:00:00,İzzetpaşa,887.65,12.56,3120.68
2022-01-01 06:00:00,Sanayi,14961.5,74.64,50.14
2022-01-01 06:00:00,Kültürpark,6875.38,1270.6,14.73
2022-01-01 06:00:00,Universite,6196.17,529.87,2939.64
2022-01-01 06:30:00,Çaydaçıra,2477.56,55.44,3503.73
2022-01-01 06:30:00,İzzetpaşa,1723.13,43.84,3084.5
2022-01-01 06:30:00,Sanayi,14171.94,84.09,52.49
2022-01-01 06:30:00,Kültürpark,7545.72,1323.47,12.86
2022-01-01 06:30:00,Universite,5412.61,494.03,2792.87
2022-01-01 07:00:00,Çaydaçıra,3338.27,103.74,3475.49
2022-01-01 07:00:00,İzzetpaşa,2415.06,65.3,3230.03
2022-01-01 07:00:00,Sanayi,13543.19,80.06,51.18
2022-01-01 07:00:00,Kültürpark,9486.62,1341.76,13.21
2022-01-01 07:00:00,Universite,6587.75,541.96,2840.12
2022-01-01 07:30:00,Çaydaçıra,4533.78,119.64,3673.47
2022-01-01 07:30:00,İzzetpaşa,3116.08,103.58,3044.01
2022-01-01 07:30:00,Sanayi,13658.93,76.4,52.22
2022-01-01 07:30:00,Kültürpark,10223.93,1183.01,13.65
2022-01-01 07:30:00,Universite,6290.11,505.75,2821.44
2022-01-01 08:00:00,Çaydaçıra,5229.23,168.05,3430.11
2022-01-01 08:00:00,İzzetpaşa,3948.58,141.04,3285.8
2022-01-01 08:00:00,Sanayi,13669.77,93.82,49.96
2022-01-01 08:00:00,Kültürpark,10932.23,1330.68,13.47
2022-01-01 08:00:00,Universite,6670.2,532.8,2708.67
2022-01-01 08:30:00,Çaydaçıra,5532.85,211.87,3719.75
2022-01-01 08:30:00,İzzetpaşa,3163.35,156.74,3235.48
2022-01-01 08:30:00,Sanayi,12788.64,87.97,48.97
2022-01-01 08:30:00,Kültürpark,12116.64,1346.16,13.52
2022-01-01 08:30:00,Universite,7000.26,515.83,2790.23
2022-01-01 09:00:00,Çaydaçıra,5191.19,258.27,3194.25
2022-01-01 09:00:00,İzzetpaşa,3921.88,159.92,3010.83
2022-01-01 09:00:00,Sanayi,13617.65,95.65,46.11
2022-01-01 09:00:00,Kültürpark,10485.19,1357.98,13.78
2022-01-01 09:00:00,Universite,6496.04,497.76,2679.34
