Tarih,Mahalle,Elektrik_Tuketim,Su_Tuketim,Dogalgaz_Tuketim,_id
2022-01-01 00:00:00,Çaydaçıra,3948.37,63.73,3125.03,6931e45a95082e6ab83ef5c6
2022-01-01 00:00:00,İzzetpaşa,2553.72,43.6,3330.7,6931e45a95082e6ab83ef5c7
2022-01-01 00:00:00,Sanayi,11961.95,95.64,50.99,6931e45a95082e6ab83ef5c8
2022-01-01 00:00:00,Kültürpark,4565.27,872.59,14.38,6931e45a95082e6ab83ef5c9
2022-01-01 00:00:00,Universite,14764.25,554.37,4018.69,6931e45a95082e6ab83ef5ca
2022-01-01 00:30:00,Çaydaçıra,3647.23,71.5,3140.46,6931e45a95082e6ab83ef5cb
2022-01-01 00:30:00,İzzetpaşa,2382.14,42.81,2863.84,6931e45a95082e6ab83ef5cc
2022-01-01 00:30:00,Sanayi,14838.0,83.21,45.33,6931e45a95082e6ab83ef5cd
2022-01-01 00:30:00,Kültürpark,4946.28,763.85,13.0,6931e45a95082e6ab83ef5ce
2022-01-01 00:30:00,Universite,13677.08,561.62,4420.52,6931e45a95082e6ab83ef5cf
2022-01-01 01:00:00,Çaydaçıra,3487.73,55.4,3248.26,6931e45a95082e6ab83ef5d0
2022-01-01 01:00:00,İzzetpaşa,2347.66,44.28,2785.85,6931e45a95082e6ab83ef5d1
2022-01-01 01:00:00,Sanayi,14431.44,74.51,51.0,6931e45a95082e6ab83ef5d2
2022-01-01 01:00:00,Kültürpark,5429.64,874.4,13.0,6931e45a95082e6ab83ef5d3
2022-01-01 01:00:00,Universite,11859.85,475.87,4578.19,6931e45a95082e6ab83ef5d4
2022-01-01 01:30:00,Çaydaçıra,2951.83,54.94,3155.41,6931e45a95082e6ab83ef5d5
2022-01-01 01:30:00,İzzetpaşa,2448.93,40.68,3164.53,6931e45a95082e6ab83ef5d6
2022-01-01 01:30:00,Sanayi,14963.02,77.95,46.83,6931e45a95082e6ab83ef5d7
