Tarih,Mahalle,Elektrik_Tuketim,Su_Tuketim,Dogalgaz_Tuketim
2022-01-01 00:00:00,Çaydaçıra,3665.02,70.32,3228.96
2022-01-01 00:00:00,İzzetpaşa,3371.02,47.48,2877.99
2022-01-01 00:00:00,Sanayi,14199.22,64.66,48.47
2022-01-01 00:30:00,Çaydaçıra,3468.91,64.26,3271.14
2022-01-01 00:30:00,İzzetpaşa,2152.73,47.82,2998.26
2022-01-01 00:30:00,Sanayi,13751.58,88.09,47.85
2022-01-01 01:00:00,Çaydaçıra,3203.7,63.79,3387.63
2022-01-01 01:00:00,İzzetpaşa,2364.82,42.74,2740.76
2022-01-01 01:00:00,Sanayi,13762.31,80.47,45.98
2022-01-01 01:30:00,Çaydaçıra,3326.51,51.68,3398.06
2022-01-01 01:30:00,İzzetpaşa,2276.04,38.62,2867.33
2022-01-01 01:30:00,Sanayi,15478.21,81.03,47.1
2022-01-01 02:00:00,Çaydaçıra,2924.02,50.31,3003.14
2022-01-01 02:00:00,İzzetpaşa,2467.71,35.01,3030.2
2022-01-01 02:00:00,Sanayi,13792.66,76.63,48.82
2022-01-01 02:30:00,Çaydaçıra,2693.59,43.62,3587.96
2022-01-01 02:30:00,İzzetpaşa,2031.23,37.37,2783.62
2022-01-01 02:30:00,Sanayi,13409.02,77.51,47.74
2022-01-01 03:00:00,Çaydaçıra,2834.54,44.83,3145.24
2022-01-01 03:00:00,İzzetpaşa,1732.95,31.85,2873.06
2022-01-01 03:00:00,Sanayi,14149.88,87.65,53.78
2022-01-01 03:30:00,Çaydaçıra,2144.83,41.61,2929.95
2022-01-01 03:30:00,İzzetpaşa,1813.53,27.33,2744.29
2022-01-01 03:30:00,Sanayi,13032.25,104.19,49.39
2022-01-01 04:00:00,Çaydaçıra,2262.36,33.09,2949.71
2022-01-01 04:00:00,İzzetpaşa,1413.18,23.41,2834.34
2022-01-01 04:00:00,Sanayi,11394.91,87.74,50.1
2022-01-01 04:30:00,Çaydaçıra,1695.57,30.92,3309.74
2022-01-01 04:30:00,İzzetpaşa,1281.54,20.22,3105.96
2022-01-01 04:30:00,Sanayi,13634.77,85.13,52.78
2022-01-01 05:00:00,Çaydaçıra,1923.79,25.01,3181.86
2022-01-01 05:00:00,İzzetpaşa,1362.67,17.46,2802.31
2022-01-01 05:00:00,Sanayi,14865.27,77.66,52.75
2022-01-01 05:30:00,Çaydaçıra,1646.68,18.91,3363.03
